SampleName,SMILES,abs,DFT,dipole moment,Excitation energie,solvent,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,HOMO,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_L,Length_Ratio,ESPmin,ESPmax,Nu,Pi,MPI,Nonpolar_Area,Polar_Area
N12e,O=C(N(CC(C)C)C1=O)C2=C3C1=CC=C(C4=CC(CC(C)C)=CC=C4O5)C3=C5C=C2,422,433.75,7.7578,2.8584,1.9,6.01,5.73,6.827500000000001,1.9849732365953954,-0.221447,-0.103085,0.118361,54,9.751,6.387,19.397,0.5479842924541628,-41.75831,32.46659,0.18938596,0.01534592,0.42874044,63.01,36.99
N13e,O=C(N(CC(C)C)C1=O)C2=C3C1=CC=C(C4=CC=CC=C4O5)C3=C5C=C2,418,414.19,7.4555,2.9934,1.9,6.36,5.91,6.62,1.1739037439245177,-0.223567,-0.101874,0.121692,41,8.512,6.471,16.955,0.5177889754160939,-44.61969,33.06766,0.21144186,0.01594677,0.43489608,65.04,34.96
N14e,O=C(N(CC(C)C)C1=O)C2=C3C1=CC=C4C3=C(C5=C(O4)C=C6C(OC7=CC=C8C9=C(C=CC6=C97)C(N(CC(C)C)C8=O)=O)=C5)C=C2,412,496.19,16.9692,2.4987,1.9,3.73,3.25,3.55,0.24259018941416405,-0.224027,-0.118576,0.105451,72,13.163,6.522,26.336,0.6120238897538983,-40.49075,38.78709,0.19467836,0.01601485,0.46623213,58.46,41.54
N16e,O=C(C1=C2C(C3=C4C(OC5=C4C=C(CC(C)C)C=C5)=C26)=C(C(N(CC(C)C)C3=O)=O)C7=C1C8=CC(CC(C)C)=CC=C8O7)N(CC(C)C)C6=O,471,459.42,9.8699,2.6987,1.9,3.85,4.38,4.435,0.3812151623427378,-0.236273,-0.134796,0.101478,91,11.532,6.55,22.966,0.5033202568541937,-51.33469,19.69499,0.09097507,0.01185563,0.32686698,79.29,20.71
N17e,O=C(C1=C2C(C=CC=C23)=C(C4=CC(CC(C)C)=CS4)C=C1)N(CC(C)C)C3=O,368,410.18,6.4649,3.0227,1.9,7.06,6.29,7.3275,1.8515044558412495,-0.231953,-0.106454,0.125499,51,9.56,6.735,18.974,0.5450889137866645,-42.83231,27.55428,0.17407196,0.01433003,0.39789456,65.17,34.83
N18e,O=C(C1=C2C=CC(OCCC(CCC)CC)=C1)C(C=CC(OCCC(CCC)CC)=C3)=C3C2=O,342,367.83,4.1333,3.3707,1.9,6.8,8.67,7.1625,0.8908808842937422,-0.24242,-0.110527,0.131893,72,14.539,6.07,28.986,0.6599576512374491,-43.55477,27.31385,0.13110758,0.01482666,0.42717168,69.18,30.82
N19e,CC(C)CC1=CC=C(C2=CC=C(C3=C4C=CC=C32)C5=CC=CC6=C(C7=CC=C(CC(C)C)C=C7)C=CC4=C65)C=C1,456,457.03,13.4925,2.7128,1.9,4.8,4.81,4.235,0.6316842565712715,-0.189058,-0.078818,0.11024,74,13.4,6.701,26.732,0.6128240984846748,-17.53237,19.2404,0.22443799,0.01187223,0.32080383,68.87,31.13
N20e,O=C(N(CC(C)C)C1=O)C2=C3C1=CC=C(C4=CC(CC(C)C)=CC=C4O5)C3=C5C(C6=CC=C(C=C6)CC(C)C)=C2,432,436.35,5.6496,2.8414,1.9,4.97,5.8,5.789999999999999,0.7791983059529841,-0.214579,-0.097336,0.117243,69,9.626,7.442,18.162,0.41504604767019354,-46.00991,30.69516,0.16528783,0.01356531,0.37835838,69.35,30.65
N2e,O=C1C2=C(C=CC=C2NC(C(C)C)=O)C(C3=C(NC(C(C)C)=O)C=CC=C31)=O,439,466.38,5.2271,2.6584,1.9,6.24,7.72,6.1274999999999995,1.0041756569445406,-0.246208,-0.129709,0.1165,42,8.81,6.748,17.474,0.49529478458049886,-42.74144,21.1309,0.1069215,0.01330883,0.38148523,68.28,31.72
N5e,O=C(N(CC(C)C)C1=O)C2=C(OC3=CC=C(CC(C)C)C=C3)C=C4C5=C(C(N(CC(C)C)C4=O)=O)C(OC6=CC=C(CC(C)C)C=C6)=CC1=C52,449,440.05,2.4846,2.8175,1.9,5.27,5.24,5.3825,0.3040045229926688,-0.243722,-0.131215,0.112506,94,13.31,7.379,26.615,0.5102569018404908,-46.43554,19.72555,0.11309774,0.01331593,0.36728981,70.51,29.49
